"Website","Webbplats"
"Display Order ID in Header","Visa ordernr i dokumentheader"
"View Order","Visa beställning"
"View All","Visa alla"
"View","Visa"
"Profit","Vinst"
"The order was placed using %s","Vid beställningen, använde ordern %s"
"Shopping Cart","Varukorg"
"Order Currency:","Valuta för beställning:"
"Value","Värde"
"Pending","Väntar på granskning"
"Please Select Products to Add","Vänligen välj produkter att lägga till"
"Please Select a Customer","Vänligen välj en kund"
"Please Select a Store","Vänligen välj en butik"
"Please enter positive number in this field.","Vänligen ange ett positivt nummer i detta fält."
"Select from existing customer addresses:","Välj från befintliga kundadresser:"
"Expired","Utgått"
"Credit Memo Update for Guest","Uppdatering av kreditfaktura - gäst"
"Credit Memo Update","Uppdatering av kreditfaktura"
"Invoice Update for Guest","Uppdatering av faktura - gäst"
"Invoice Update","Uppdatering av faktura"
"Shipment Update for Guest","Uppdatering av leverans - gäst"
"Shipment Update","Uppdatering av leverans"
"Order Update for Guest","Uppdatering av order - gäst"
"Order Update","Uppdatering av order"
"Updated:","Uppdaterat: "
"Updated At","Uppdaterat den"
"Update Items and Qty\'s","Uppdatera antal och artiklar."
"Update Qty\'s","Uppdatera antal"
"Update Changes","Uppdatera ändringar"
"Refresh","Uppdatera"
"Sorry, no quotes are available for this order at this time.","Tyvärr, för närvarande finns inga offerter tillgängliga för denna beställning."
"Carrier","Transportör"
"Unsupported transaction type ""%s"".","Transaktionstypen ""%s"" stöds inte."
"Transaction Type","Transaktionstyp"
"Transaction ID: ""%s"".","Transaktionsid: ""%s""."
"Transaction ID must not be empty.","Transaktionsid får inte vara tomt."
"Transaction ID","Transaktions ID"
"Transactions","Transaktioner"
"The transaction ""%s"" cannot be captured yet.","Transaktionen ""%s"" kan ännu inte fångas."
"Transaction ""%s"" was already processed.","Transaktionen ""%s"" har redan behandlats."
"The transaction ""%s"" (%s) is already closed.","Transaktionen ""%s"" (%s) är redan stängd."
"Total Shipped Report","Totalt levererad rapport"
"Total Invoiced VS Paid Report","Totalt fakturerade vs betalda rapport"
"Total Invoiced","Totalt fakturerad"
"Row Total","Totalt för rad"
"Total Paid","Totalt betalt"
"Total Qty","Totalt antal"
"Total Refunded","Totalt återbetalt"
"Total Refund","Totalt återbetalt"
"Total %d product(s)","Totalt %d produkt(er)"
"Total (inc)","Totalt (inkl.)"
"Total (ex)","Totalt (ex)"
"Total","Totalt"
"Order Totals","Totalsumma för beställning"
"Order Grand Total","Totalsumma för beställning"
"Order Total","Totalsumma för beställning"
"Grand Total to be Charged","Totalsumma att debitera"
"G.T. (Purchased)","Totalsumma (köpt)"
"G.T. (Base)","Totalsumma (bas)"
"Total Due","Totalsumma"
"Grand Total","Totalsumma"
"Total Tax","Total moms"
"Total Shipping Charges","Total leveransavgifter"
"Total Shipping","Total leverans"
"Title","Titel"
"Back to My Orders","Tillbaka till mina beställningar"
"Back to Billing Agreements","Tillbaka till faktureringsavtal."
"Back to Recurring Profiles","Tillbaka till återkommande profiler"
"Back","Tillbaka"
"Allow Reorder","Tillåt ombeställning"
"To:","Till:"
"To","Till"
"Schedule","Tidtabell"
"Telephone","Telefon"
"Remove tracking number","Ta bort spårningsnummer"
"Remove Coupon Code","Ta bort kupongkod"
"Remove","Ta bort"
"Delete","Ta bort"
"Visible on Frontend","Synlig i frontend"
"Status:","Status: "
"Order Status","Status för beställning"
"Status","Status"
"Tier Pricing","Stafflade priser"
"City","Stad"
"Closed","Stängd"
"Is Closed","Stängd"
"Close","Stäng"
"Specified profile does not exist.","Specificerad profil finns inte."
"Custom Price","Specialpris"
"Save and Close Message","Spara och stäng meddelande"
"Save in address book","Spara i adressboken"
"Tracking Number(s):","Spårningsnummer:"
"Tracking Number","Spårningsnummer"
"Tracking","Spårning"
"Track your order","Spåra din beställning"
"Track this shipment","Spåra denna leverans"
"Track Order","Spåra beställning"
"Track all shipments","Spåra alla leveranser"
"Track all shipment(s)","Spåra alla leveranser"
"Checkout Totals Sort Order","Sortering för summor i kassan"
"Complete","Slutförd"
"Print Packingslips","Skriv ut fraktsedlar"
"Print Credit Memos","Skriv ut fakturor"
"Print Invoices","Skriv ut fakturor"
"Print Invoice","Skriv ut faktura"
"Print Shipment","Skriv ut följesedel"
"Print Order # %s","Skriv ut beställning #%s"
"Print Order","Skriv ut beställning"
"Print All Shipments","Skriv ut alla leveranser"
"Print All Invoices","Skriv ut alla fakturor"
"Print All Refunds","Skriv ut alla återköp"
"Print All","Skriv ut alla"
"Print Refund","Skriv ut återköp"
"Print","Skriv ut"
"Add a gift message for <strong>each gift item</strong>","Skriv meddelande för <strong>varje present</strong>"
"Add a gift message for the <strong>entire order</strong>","Skriv ett presentmeddelande för <strong>hela beställningen</strong>"
"Add Order Comments","Skriv en kommentar för beställningen"
"Signed Up From","Skrev upp sig från"
"Ship To","Skickas till"
"Send Tracking Information","Skicka spårningsinformation"
"Send Order Email Copy To","Skicka orderbekräftelse via e-post till"
"Send Order Email Copy Method","Skicka orderbekräftelse kopia metod"
"Send Shipment Comment Email Copy To","Skicka leveranskommentar via e-post till"
"Send Shipment Email Copy To","Skicka leveransbekräftelse kopia till"
"Send Credit Memo Comment Email Copy To","Skicka kopia av e-post för kreditfakturakommentar till"
"Send Credit Memo Email Copy To","Skicka kopia av e-post för kreditfaktura till"
"Send Invoice Comment Email Copy To","Skicka kopia av e-post för fakturakommentar till"
"Send Order Comment Email Copy To","Skicka kopia av e-post för beställningskommentar till"
"Send Invoice Email Copy To","Skicka fakturakopia med e-post till"
"Send Sales Emails","Skicka försäljningsmail"
"Send Email","Skicka e-post"
"Created:","Skapat: "
"Created At","Skapades den"
"Created billing agreement #%s.","Skapade fakuteringsavtal #%s."
"Create...","Skapa..."
"Create new shipment for order","Skapa ny leverans för beställning"
"Create New Customer","Skapa ny kund"
"Create new invoice for order","Skapa ny faktura för beställning"
"Create New Order for New Customer in %s","Skapa ny beställning åt ny kund i %s"
"Create New Order for New Customer","Skapa ny beställning åt ny kund"
"Create New Order for %s in %s","Skapa ny beställning åt %s i %s"
"Create New Order for %s","Skapa ny beställning åt %s"
"Create New Order","Skapa ny beställning"
"Create Shipment","Skapa leverans"
"Submit Shipment","Skapa leverans"
"Submit Credit Memo","Skapa kreditfaktura"
"Submit Comment","Skapa kommentar"
"Submit Order","Skapa beställning"
"Create","Skapa"
"Last Ordered Items","Senast beställda produkter"
"Rate","Sats"
"Same As Billing Address","Samma som fakturaadress"
"New Order RSS","RSS-kanal för nya beställningar"
"Backordered","Restnoterad"
"Related Orders","Relaterade ordrar"
"Registered update about denied payment.","Registrerade uppdatering gällande nekad betalning."
"Registered notification about approved payment.","Registrerade notifikation anående godkänd betalning."
"Registered notification about denied payment.","Registrerad notifikation gällande nekad betalning."
"Registered notification about captured amount of %s.","Registrerad notifikation gällande fångat belopp på %s."
"State/Province","Region"
"Reference ID:","Referens ID:"
"Reference ID","Referens ID"
"Edit Order","Redigera order"
"Row Subtotal","Radtotal"
"Promotion Coupons Usage Report","Rabattkupongs användningsrapport"
"Discount (%s)","Rabatt (%s)"
"Discount","Rabatt"
"Discount Amount","Rabatt"
"Trial Period","Provperiod"
"Trial Payment","Provbetalning"
"Trial ","Prov"
"Profile Information","Profilinformation"
"The profile state has been updated.","Profilens state har uppdaterats."
"The profile has been updated.","Profilen har uppdaterats."
"The profile has no changes.","Profilen har inga ändringar."
"Profile #%s","Profil #%s"
"Item Status","Produktstatus"
"Product Name","Produktnamn"
"Products in Comparison List","Produkter i jämförelselistan"
"Items Invoiced","Produkter fakturerade"
"Items to Ship","Produkter att leverera"
"Items to Refund","Produkter att återbetala"
"Products","Produkter"
"Item","Produkt"
"Product","Produkt"
"Invoice capturing problem.","Problem med att fånga fakturan."
"Invoice canceling problem.","Problem med att avbryta fakturan."
"Price","Pris"
"Initial Fees","Primära avgifter"
"Initial Fee","Primär avgift"
"Gift Message for the Entire Order","Presentmeddelande för hela beställningen"
"Gift Message for This Order","Presentmeddelande för denna beställning"
"Gift Message for this Order","Presentmeddelande för denna beställning"
"Gift Message","Presentmeddelande"
"Gift","Present"
"Subscribe to Newsletter","Prenumerera på nyhetsbrev"
"Subscribe to Order Status","Prenumerera på beställningsstatus"
"Newsletter Subscription","Prenumeration på nyhetsbrev"
"Zip/Postal Code","Postnummer"
"ZIP/Post Code","Postadress"
"Placed from IP","Placerad från IP"
"Period","Period"
"PDF Print-outs","PDF utskrifter"
"PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default","PDF total model måste extenda Mage_Sales_Model_Order_Pdf_Total_Default"
"Hold action is not available.","Parkeringsåtgärd är inte tillgängligt."
"On Hold","Parkerad/Pausad"
"Hold order","Parkera/Pausa beställning"
"Hold","Parkera/Pausa"
"The order was not put on hold.","Ordrarna har inte parkerats."
"Original Price","Ordinarie pris"
"The Order State ""%s"" must not be set manually.","Orderstaten ""%s"" måste sättas manuellt."
"The order has been created.","Ordern har skapats."
"The order has been cancelled.","Ordern har makulerats."
"The order has been put on hold.","Ordern har lagts på is."
"The order was not unheld.","Ordern har inte återtagits."
"Order ID","Orderid"
"the order confirmation email was sent","orderbekräftelsen har mailats"
"the order confirmation email is not sent","orderbekräftelsen har inte mailats"
"Order does not allow to be canceled.","Order tillåter inte att avbrytas."
"Order Shipments","Order leveranser"
"Order shipments","Order leveranser"
"Order Credit Memos","Order kreditfakturor"
"Order History Info","Order historisk info"
"Order invoice","Order fakturor"
"Order Invoices","Order fakturor"
"Order API","Order API"
"The order has been released from holding status.","Ordarna har släppts från parkerings statusen."
"Online Refunded","Online återbetalning"
"If empty, the default error above will be used.","Om tomt, kommer standard felmeddelandet ovan att användas."
"If empty, the default description above will be used.","Om tomt, kommer den förvalda beskrivningen ovan att användas."
"If the invoice was created offline, try creating an offline creditmemo.","Om fakturan skapades offline, försök skapa en offline kreditfaktura."
"About Your Refund","Om ditt återköp"
"About Your Shipment","Om din leveranas"
"About Your Invoice","Om din beställning"
"About Your Order","Om din beställning"
"About This Profile:","Om denna profil: "
"About This Order:","Om denna beställning:"
"Unknown Status","Okänt status"
"Unknown State","Okänd region"
"Invalid block: %s.","Ogiltigt block: %s"
"Invalid qty to refund item ""%s""","Ogiltig antal för att köpa tillbaka artikel ""%s"""
"Invalid qty to invoice item ""%s""","Ogiltig antal för att fakturera artikel ""%s"""
"Invalid qty to ship for item ""%s""","Ogiltig antal att leverera för artikel ""%s"""
"Recently Viewed Products","Nyligen visade produkter"
"Recently Viewed","Nyligen visade"
"Recent Orders","Nyligen lagda beställningar"
"Recently Compared Products","Nyligen jämförda produkter"
"Key","Nyckel"
"New Shipment for Order #%s","Ny leverans för order #%s"
"New Shipment","Ny leverans"
"New Credit Memo for Guest","Ny kreditfaktura - gäst"
"New Credit Memo","Ny kreditfaktura"
"New Billing Agreement","Ny faktureringsavtal"
"New Invoice and Shipment for Order #%s","Ny faktura och leverans för beställning #%s"
"New Invoice for Order #%s","Ny faktura för order #%s"
"New Invoice for Guest","Ny faktura - gäst"
"New Invoice","Ny faktura"
"New Shipment for Guest","Ny leverans - gäst"
"New Order for Guest","Ny order - gäst"
"New Order","Ny order"
"New","Ny"
"Notification Not Applicable","Notifiering ej tillämpligt"
"Regular Payment","Normal betalning"
"Deny Payment","Neka betalning"
"No","Nej"
"From Name","Namn för Från"
"Name","Namn"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Några av produkterna nedan har inte alla obligatoriska valen fyllda. Vänligen ta bort dessa och lägg till dem på nytt med alla obligatoriska val."
"To Name","Mottagarnamn"
"Tax Percent","Moms procent"
"Tax Amount","Moms"
"Tax","Moms"
"Suspected Fraud","Misstänkt bedrägeri"
"Failed to update the profile.","Misslyckades med att uppdatera profilen."
"Failed to update the payment.","Misslyckades med att uppdatera betalningen."
"Failed to send the order email.","Misslyckades med att skicka bekräftelsemail."
"Failed to void the payment.","Misslyckades med att annullera betalningen."
"Minimum Amount","Minimum summa"
"Minimum Order Amount","Minimum beställningssumma"
"My Orders - Details","Mina beställningar - detaljer"
"My Orders","Mina beställningar"
"Order Subtotal","Mellansumma för beställning"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","Meddelandet kommer att visas i varukorgen när delsumman efter rabatt är mindre än det minsta beloppet."
"The message was sent.","Meddelandet har skickats."
"The message has been sent.","Meddelandet har skickats."
"Description Message","Meddelandebeskrivning"
"Message:","Meddelande:"
"Message","Meddelande"
"Notified","Meddelad"
"Notify Customer by Email","Meddela kund via e-post"
"Maximum shipping amount allowed to refund is: %s","Maximal tillåten fraktbelopp att återbetala är: %s"
"New Order Confirmation Template for Guest","Mall för bekräftelse av ny order för gäst"
"New Order Confirmation Template","Mall för bekräftelse av ny order"
"Canceled order offline.","Makulerade ordern offline."
"Logo for PDF Print-outs (200x50)","Logga för PDF utskrifter (200x50)"
"Logo for HTML Print View","Logga för HTML utskrift"
"Shipped By","Levererat av"
"Qty Shipped","Levererat antal"
"Shipped","Levererat"
"Items Shipped","Levererade artiklar"
"Ship","Leverera"
"Shipping Method:","Leveranssätt:"
"Shipping Method","Leveranssätt"
"the shipment email was sent","leveransmailet har skickats"
"the shipment email is not sent","leveransmailet har inte skickats"
"Shipment Comments","Leveranskommentarer"
"Shipping Information","Leveransinformation"
"Shipments","Leveranser"
"Date Shipped","Leveransdatum"
"SHIP TO:","Leveransadress"
"Shipping Address","Leveransadress"
"Ship to Name","Leverans till"
"Shipment #%s","Leverans #%s"
"Shipment #%1$s | %3$s (%2$s)","Leverans #%1$s | %3$s (%2$s)"
"Shipping & Handling","Leverans"
"Shipping & Handling (Excl. Tax)","Leverans (ex.moms)"
"Country","Land"
"Link to the Previous Order","Länk till föregående beställning"
"Link to the New Order","Länk till den nya beställningen"
"Add Selected Product(s) to Option","Lägg till valda produkter som alternativ"
"Add Selected Product(s) to Order","Lägg till vald(a) produkt(er) till beställning"
"Add Tracking Number","Lägg till spårningsnummer"
"Add Products","Lägg till produkter"
"Add Gift Messsage","Lägg till presentmeddelande"
"Add new tracking number","Lägg till ny spårningsnummer"
"Add new comment to shipment","Lägg till ny kommentar till beställningen"
"Add New Address","Lägg till ny adress"
"Append Comments","Lägg till kommentar"
"Add to Cart","Lägg till i varukorgen"
"Add To Order","Lägg till beställning"
"Add","Lägg till"
"The coupon code has been accepted.","Kupongkoden har accepterats"
"Coupons","Kuponger"
"Customer Name","Kundnamn"
"Customer Group","Kundgrupp"
"Customer Last Name","Kundens efternamn"
"Customer Email","Kundens e-post"
"Customer\'s Current Activities","Kundens aktuella aktiviteter "
"Customer Can Define Start Date","Kund kan definera startdatum"
"Customer","Kund"
"PDF Credit Memos","Kreditfakturor i PDF-format"
"Credit Memos","Kreditfakturor"
"the credit memo email was sent","kreditfakturans mail har skickats"
"Credit Memo #","kreditfakturanr."
"Credit Memo # ","kreditfakturanr."
"the credit memo email is not sent","kreditfakturan har inte mailats"
"Credit memo has been created automatically","Kreditfakturan har automatiskt skapats."
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Kreditfaktura #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo","kreditfaktura"
"Creditmemo","kreditfaktura"
"Add comment to order","Kommentera ordern"
"Comments History","Kommentarshistorik"
"Order Comments","Kommentarer för beställning"
"Comments","Kommentarer"
"Comment Text","Kommentar text"
