"Card Verification Number","Verifieringsnummer för bankkort"
"Week","Vecka"
"Currency code is undefined.","Valutakod är odefinerad."
"Currency","Valuta"
"What is this?","Vad är detta?"
"Expiration Date: %s/%s","Utgångsdatum: %s/%s"
"Expiration Date","Utgångsdatum"
"Two Weeks","Två veckor"
"Title","Titel"
"Test Mode","Testläge"
"Start date has invalid format.","Startdatum har felaktig format."
"Start date is undefined.","Startdatum är inte angiven."
"Start Date","Startdatum"
"Maximum Order Total","Största orderbelopp"
"Saved CC","Sparat kontokortsnr"
"Sort Order","Sortering"
"Overrides API URL that may be specified by a payment method.","Skriver över API URL som anges av en betalningsmetod."
"Make Check payable to: %s","Skriv checken till: %s"
"Make Check Payable to","Skriv checken till"
"Send Check to:","Skicka check till:"
"Send Check to","Skicka check till"
"Schedule Description","Schemalägg beskrivning"
"Schedule description must be not empty.","Schema beskrivning får inte vara tomt."
"Repeats %s time(s).","Repetitioner %s gång(er)."
"Reference ID is not set.","Referensid är inte angiven."
"Initial Fee","Primär avgift"
"Subscriber Name","Prenumerantnamn"
"Trial period frequency is wrong.","Prövotidens frekvens är fel."
"Trial billing period unit is wrong.","Prövotidens faktureringsperiod har fel enhet."
"Trial Billing Frequency","Prövotid faktureringsfrekvens"
"Trial Period","Prövotid"
"Period frequency is wrong.","Periodfrekvens är fel."
"Zero Subtotal Checkout","Noll mellansumma vid kassan"
"Name on the Card: %s","Namn på kortet: %s"
"Name on the Card","Namn på kortet"
"Name on Card","Namn på kortet"
"Tax Amount","Momsbelopp"
"Minimum Order Total","Minsta orderbelopp"
"Maximum Payment Failures","Maximalt misslyckade köp"
"Maximum Billing Cycles","Maximalt faktureringscykler"
"Month","Månad"
"Password","Lösenord"
"Customer ID is not set.","Kundid är inte anvigen"
"Short description of the recurring payment. By default equals to the product name.","Kort beskrivning om återkommande betalning. Som standard är lika med produktnamnet."
"Cannot load configuration for payment method ""%s""","Kan inte ladda konfiguration för betalningsmetod ""%s"""
"Internal Reference ID","Intern referensid"
"Purchase Order Number:","Inköps ordernummer:"
"Make Check payable to:","Gör checken på:"
"Shipping Amount","Fraktbelopp"
"Debug Mode","Felsökningsläge"
"Wrong or empty billing amount specified.","Fel eller tomt faktureringsbelopp angiven"
"Wrong %s specified.","Fel %s specificerad."
"Billing Period","Faktureringsperiod"
"Billing Frequency","Faktureringsfrekvens"
"Billing Agreement status is not set.","Faktureringsavtalet status är inte inställd."
"Automatically Invoice All Items","Fakturera automatiskt alla artiklar"
"Billing Amount","Fakturabelopp"
"Unsupported currency code: %s.","Följande valuta stöds inte: %s."
"An internal reference ID is required to save the payment profile.","En intern referens-ID krävs för att spara betalningsplanen."
"N/A","Ej bestämt"
"Unable to save Billing Agreement:","Det gick inte att spara faktureringsavtalet:"
"The date when billing for the profile begins.","Datumet när profilens fakturering börjar."
"Day","Dag"
"Check / Money Order","Check / Postanvisning"
"Payment Services","Betalningstjänster"
"Payment Methods","Betalningssätt"
"Payment profile is invalid:\n%s","Betalningsprofilen är ogiltig:\n%s"
"Recurring profile start date has invalid format.","Betalningsplanens startdatum har felaktig format."
"Payment Methods Section","Betalningsmetod sektion"
"Payment method code is undefined.","Betalningsmetod kod är odefinerad."
"Payment method code is not set.","Betalningsmetod kod är odefinerad."
"Payment Method","Betalningsmetod"
"Payment ID: %s","Betalningsid: %s"
"Payment from Specific Countries","Betalningar från särskilda länder"
"Payment from Applicable Countries","Betalningar från godkända länder"
"Payment Reference ID","Betalning referensid"
"Purchase Order Number: %s","Beställningsnummer: %s"
"Purchase Order Number","Beställningsnummer"
"Purchase Order","Beställning"
"Request Card Security Code","Begär säkerhetskod för kort"
"Credit Card Types","Bankkortstyper"
"Credit Card Type: %s","Bankkortstyp: %s"
"Credit Card Type","Bankkortstyp"
"Credit Card Number: xxxx-%s","Bankkortsnummer: xxxx-%s"
"Credit Card Number","Bankkortsnummer"
"Enabled","Aktiverad"
"Issue Number","Ärendenummer"
"New Order Status","Ändrat status för beställning"
"Recurring Profile Start Date","Återkommande profil startdatum"
"Year","År"
"3D Secure Card Validation","3D Secure kortvalidering"
"<label>Make Check payable to:</label> %s","<label>Skriv check till:</label> %s"
"%s %s cycle.","%s %s cykel"
"--Please Select--","-- Vänligen välj --"
