"Sales Representative","Säljrepresentant"
"Unable to proceed. Please, try again.","Det gick inte att forsätta, vänligen försök igen."
"New Website","Ny webbplats"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angivit datum/tid "
"Enabled for Frontend","Aktiverad för kunddelen"
"Please enter a valid social security number. For example 123-45-6789.","Vänligen ange ett giltigt personnummer, exempelvis 010101-0106."
"Cookie Domain","Domän för cookie"
"Invalid layout update handle","Ogiltig hanterare för layoutuppdatering"
"Default Country","Förvalt land"
"Allow Countries","Tillåt länder"
"Web","Webb"
"Template Variables","Mallvariabler"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vänligen använd endast nummer i detta fält. Vänligen använd inte mellanslag eller andra liknande tecken, exempelvis punkt eller komma."
"This store cannot be deleted.","Denna butik kan ej tas bort"
"Manage Stores","Hantera butiker"
"A category object is required for determining the product request path.","Ett kategoriobjekt krävs för att bestämma produktens sökväg."
"Security","Säkerhet"
"Developer Client Restrictions","Begränsningar för utvecklarklient"
"Base Link URL","Bas-URL för länkar"
"This category and all its child elements","Denna kategori och alla dess underelement"
"Create Website","Skapa webbplats"
"Log Settings","Loginställningar"
"Default Title","Förvald sidtitel"
"Anchor Text for Next","Ankartext för nästa"
"Website with the same code","Webbplats med samma kod"
"The store view has been saved","Butiksvyn har sparats."
"Please use only visible characters and spaces.","Vänligen använd endast synliga tecken och mellanslag."
"Translate Inline","Översätt Inline"
"Model class does not exist: %s.","Modellklass finns inte: %s."
"Set Return-Path","Ange return-path"
"Edit Store View","Ändra på butiksvyn"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Vänligen ange en giltig URL. Protokoll krävs (http://, https:// eller ftp://)"
"CSS Settings","CSS inställningar"
"HTML Head","HTMLhuvud"
"Custom Variables","Anpassade variabler"
"Use Secure URLs in Admin","Använd säkra URL:er i admin"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Vänligen ange 7 eller fler tecken. Lösenord bör innehålla både numeriska och alfabetiska tecken."
"Store View","Butiksvy"
"Footer","Footer"
"Please select State/Province.","Vänligen välj region."
"Your session has been expired, you will be relogged in now.","Din session har gått ut, du kommer att loggas in på nytt."
"Themes","Teman"
"Requested invalid store ""%s""","Efterfrågade ogiltig butik ""%s"""
"Unable to delete website. Please, try again later.","Det gick inte att ta bort website. Vänligen försök igen senare."
"Package","Paket"
"Startup Page","Startsida"
"Enabled","Aktiverad"
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i detta fält."
"Controller file was loaded but class does not exist","Kontrollerfilen har laddats men klassen finns inte"
"Invalid block type: %s","Ogiltigt blocknamn: %s"
"Default","Förvalt"
"Admin","Admin"
"Validation has failed.","Valideringen misslyckades."
"System Log File Name","Namn för systemlogfil"
"Please use letters only (a-z or A-Z) in this field.","Vänligen använd endast bokstäver (a-ö eller A-Ö) i detta fält."
"This is a required field.","Detta är ett obligatoriskt fält."
"Mail Sending Settings","Mailinställningar"
"%s already exist.","%s finns redan."
"Save Website","Spara webbplats"
"Design Change","Designändring"
"Backup Options","Backupval"
"Store Information","Information om butik"
"Flush Magento Cache","Töm Magento cache"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Vänligen ange en giltig CSS-längd. T.ex. 100px eller 77pt eller 20em eller .5ex eller 50%."
"Countries Options","Alternativ för länder"
"Invalid website\'s configuration path: %s","Ogiltig website konfiguration sökväg: %s"
"Default Store","Förvald butik"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativtext för föregående länk i paginering menyn. Om tomt, kommer standardpilen bilden användas."
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code får bara innehålla bokstäver (a-ö), siffror (0-9) eller understreck (_). Första tecknet måste vara en bokstav."
"The store has been deleted.","Butiken har tagits bort."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vänligen använd endast bokstäver (a-ö), siffror (0-9), mellanslag eller # (brädgård) i detta fält."
"Title Prefix","Titel Prefix"
"Miscellaneous HTML","Diverse HTML"
"Services","Tjänster"
"Edit Design Change","Ändra på designändring"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Vänligen ange en giltig URL key. T.ex: ""exempelsida"", eller ""exempelsida.html"" eller ""ensida/exempelsida""."
"Before modifying the website code please make sure that it is not used in index.php.","Innan du ändrar webbplatsens kod bör du se till att det inte används i index.php."
"General Settings","Allmänna inställningar"
"Use HTTP Only","Använd endast HTTP"
"Please enter 6 or more characters.","Vänligen ange 6 eller fler tecken."
"Auto-redirect to Base URL","Auto-redirect till bas URL"
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Din beställning kan inte slutföras just nu eftersom det inte finns några fraktalternativ tillgängliga för det. Gör nödvändiga ändringar i din leveransadress."
"The website has been deleted.","Websiten har tagits bort."
"Request Path for Specified Store","Sökväg för begäran för angiven butik"
"Unable to delete store view. Please, try again later.","Det gick inte att ta bort butiksvy. Vänlige prova igen senare."
"New Store View","Ny butiksvy"
"Set as Default","Välj som förvalt"
"Enable Charts","Aktivera diagram"
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen ange en giltig e-postadress, exempelvis namn@example.com."
"Cannot retrieve entity config: %s","Kan inte hämta enhetens konfiguration: %s"
"Invalid base url type","Ogiltig typ för bas-URL"
"Date To","Datum till"
"Admin User Emails","Admin användarmail"
"Validate HTTP_X_FORWARDED_FOR","Validera HTTP_X_FORWARDED_FOR"
"Store with the same code","Butik med samma kod"
"Please specify payment method.","Vänligen ange betalningssätt."
"Custom Design","Anpassad design"
"This date is a required value.","Detta datum är ett obligatoriskt värde."
"Logo Image Alt","Alttext logobild"
"-- Please Select --","-- Vänligen välj --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Genom att ta bort en %1$s kommer inte ta bort informationen kopplat til %1$s (t.ex. kategorier, produkter, m.m), men %1$s kommer inte att kunna återställas. Det rekommenderas att du tar en databasbackup innan du tar bort %1$s."
"Unsecure","Osäker"
"Pagination","Sidnumrering"
"Store Contact Address","Butikens kontaktadress"
"First Day of Week","Veckans första dag"
"Please enter issue number or start date for switch/solo card type.","Ange ett löpnummer eller startdatum för switch/solo korttyp."
"Copyright","Copyright"
"Leave empty for access from any location.","Lämna tomt för åtkomst från valfri plats."
"Default Pages","Förvalda sidor"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativ text för nästa länk i paginering menyn. Om tomt, kommer standardpilen användas."
"Website","Webbplats"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s som du angav är ogiltig, se till att det ser ut enligt: http://www.minhemsida.com/"
