"Actions","Acţiuni"
"Are you sure?","Sunteţi sigur?"
"Date Added","Data a fost adăugată"
"Error while marking as read. Please try again later.","Eroare în timpul marcării drept citit. Vă rugăm să încercaţi din nou mai târziu."
"Error while marking. Please try again later.","Eroare în timpul marcării. Vă rugăm să încercaţi din nou mai târziu."
"Error while removing. Please try again later.","Eroare în timpul ştergerii. Vă rugăm să încercaţi din nou mai târziu."
"Last update","Ultima actualizare"
"Mark as Read","Marchează drept citit"
"Mark as read","Marchează drept citit"
"Message","Mesaj"
"Message was successfully marked as read","Mesajul a fost marcat drept citit"
"Message was successfully removed","Mesajul a fost şters"
"Messages Inbox","Inbox mesaje"
"Notifications","Notificări"
"Please select messages","Vă rugăm să selectaţi mesaje"
"Read Details","Citiţi detaliile"
"Remove","Şterge"
"Severity","Severitate"
"Show List","Afişează lista"
"Show Toolbar","Arată toolbar"
"Total of %d record(s) were successfully marked as read","%d înregistrări au fost marcate drept citite"
"Total of %d record(s) were successfully removed","%d înregistrări au fost şterse"
"Unable to proceed. Please, try again","Nu se poate continua. Vă rugăm să încercaţi din nou"
"Update frequency","Frecvenţa de actualizare"
"Use HTTPS to get feed","Foloseşte HTTPS pentru a primi feed"
"critical","critic"
"major","major"
"minor","minor"
"notice","notificare"
