" and "," şi "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Cale absolută sau relativă spre Magento install root, ex. var/export)"
"(For US 2-letter state names)","(Pentru nume de state americane formate din 2 litere)"
"(If left empty will be auto-generated)","(Va fi generat automat dacă nu este completat)"
"(Leave empty for first spreadsheet)","(Nu completaţi pentru primul spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adăugate/actualizate în acest magazin în cazuş în care coloana 'magazin' este goală sau lipseşte din fişierul importat.)"
"(Shift-)Click or drag to change value","(Shift-)Click sau trageţi pentru a schimba valoarea"
"(Starting with)","(Începând cu)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Dacă 'Nu', vor fi importate doar câmpurile mapate. Pentru cartografiere folosiţi 'coloana1', 'coloana2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Trebuie să măriţi limita memoriei php înainte de a modifica această valoare)"
"(\\t for tab)","(\\t pentru tab)"
"- Click on any of the time parts to increase it","- Click pe oricare dintre părţile de timp pentru a mări"
"- Hold mouse button on any of the above buttons for faster selection.","- Ţineţi apăsat mouse-ul sau oricare dintre butoanele de mai sus pentru o selectare mai rapidă."
"- Use the %s buttons to select month","- Folosiţi butoanele %s pentru a selecta luna"
"- Use the %s, %s buttons to select year","- Folosiţi butoanele %s, %s pentru a selecta anul"
"- or Shift-click to decrease it","- sau shift-click pentru a micşora"
"- or click and drag for faster selection.","- sau click şi trageţi pentru o selectare mai rapidă."
"API:","API:"
"About the calendar","Despre calendar"
"Access Denied.","Acces interzis"
"Account Created in:","Cont creat în:"
"Account Created on (%s):","Cont creat în (%s):"
"Account Created on:","Cont creat în:"
"Action","Acţiune"
"Actions","Acţiuni"
"Add","Add"
"Add Contents Path","Adăugaţi cale conţinuturi"
"Add Field with URL:","Adaugă câmp cu URL:"
"Add Maintainer","Adaugă maintainer"
"Add New Role","Adaugă rol nou"
"Add New Template","Adaugă template nou"
"Add New User","Adaugă utilizator nou"
"Add PHP Extension dependency","Adaugă dependinţe extensii PHP"
"Add Package dependency","Adaugă dependinţă pachet"
"Add Subpackage dependency","Adaugă dependinţă subpachet"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
