"Pricing wizard","Assistant prix"
"Rules","Règles"
"Imports log","Historique des imports"
"Pricing errors","Erreurs de pricing"
"Seller price (incl tax)","Prix du vendeur (ttc)"
"My cost (excl tax)","Mon coût (ht)"
"My price (incl tax)","Mon prix (ttc)"
"My margin %","Ma marge %"
"My rank","Mon rang"
"Behaviour","Comportement"
"Induced margin %","Marge induite %"
"Conservative","Prudent"
"Moderate","Modéré"
"Aggressive","Aggressif"
"Cautious","Prudent"
"Offer details","Détails de l\'offre"
"Pricing","Calcul du prix"
"History","Historique"
"Pricing history","Historique des calculs de prix"
"Product information","Information produit"
"Seller","Vendeur"
"Rank","Rang"
"Final price","Mon prix"
"Information from %s","Information de %s"
"Information from Magento","Information de Magento"
"Shipping","Frais de port"
"Margin","Marges"
"Products in waiting to update","Produits en attente de mise à jour"
"Cost","Coûts"
"Perimeter","Périmètre"
"Last index","Dernière indexation"
"Enabled ?","Actif ?"
"Reindex required ?","Réindexation requise"
"Enabled","Actif"
"Priority","Priorité"
"Enable","Activer le calcul automatique"
"Additional cost","Coût additionnels"
"Behavior","Comportement"
"Tax","Taxe"
"All products","Tous les produits"
"Create new rule","Nouvelle règle"
"Index All","Tout indéxer"
"Product matching to conditions","Produits correspondants aux conditions"
"Rules Details","Détails de la règle"
"Last index date","Date de dernière indexation"
"Shipping coefficient","Coefficient"
"Conditions for products","Conditions sur les produits"
"Conditions on offers","Conditions sur les offres"
"Field","Champ"
"Delete","Supprimer"
"Add a condition","Ajouter une condition"
"Rule saved","Règle sauvegardée"
"Conservative margin","Marge prudente"
"Moderate margin","Marge modérée"
"No competitor margin","Marge sans concurrent"
"Create a new rule","Ajouter une règle"
"Rule settings","Paramètres"
"Rule type","Type de règle"
"Additional cost param","Paramètres de coût additionel"
"All Offers","Toutes les offres"
"Pricing for %s","Paramètres pour %s"
"Import history","Historique des imports"
"Runner","Participant"
"No competitor","Sans concurrent"
"Check here if your login / password combination is correct","Vérification de vos identifiants"
"Reset offers, reports, logs","RAZ des offres, rapports et logs"
"Channel references","Références sur les canaux"
"Channel","Canal"
"Reference","Référence"
"Offers import","Imports des offres"
"Enable cron","Activer le cron"
"Automatically import offers","Importe automatiquement les offres"
"Catalog Export","Export du catalogue"
"Partial export attribute","Attribut pour l'export partiel"
"If you dont want to send the whole catalog, select here the yes/no attribute to use to limit the export","Si vous ne souhaitez pas transmettre tout votre catalogue, sélectionnez un attribut produit de type oui/non"
"Automatically push catalog every evening","Envoie automatiquement votre catalogue toutes les nuits"
"Download export now","Télécharger le fichier catalogue"
"Export now","Envoyer le fichier catalogue maintenant"
"Repricing","Calcul automatique des prix de vente"
"Test mode","Activer le mode test"
"If enable, calculated price are not saved","Si activé, les prix seront calculés mais pas sauvegardés"
"Change product updated at date when price changed","Modifier la date de mise à jour du produit lorsque le prix est mis à jour"
"Configuration per channel","Configuration par canal"
"Your seller reference","Votre référence de vendeur"
"Store calculated price in attribute","Stocker le prix calculé dans l'attribut"
"Default commission percent","Pourcentage de commission par défaut"
"Country for shipping and taxes","Pays de livraison et taxes"
"Postcode for shipping and taxes","Code postal de livraison et taxes"
"State for shipping and taxes","Region de livraison et taxes"
"Default behaviour","Comportement par défaut"
"Compete with","Calcul du meilleur concurrent"
"Adjustment method","Méthode d'ajustement"
"Adjustment value","Valeur d'ajustement"
"Reprice now","Calculer les prix"
"Product view","Fiche produit"
"Shipping method for price calculation","Méthode d'expédi à utiliser pour calculer votre prix"
"Export history","Historique des exports catalogue"
"Best price","Meilleur prix"
"Best rank","Meilleur rang"
"Best sellers","Meilleurs vendeurs"
"Used to adjust your price : substract a percent or a fixed value from best competitor price to calculate your price","Utilisé pour ajuster votre prix au meilleur concurrent : enlever un % ou une valeur fixe"
"If you know the sku on channels, use attributes to force the matching. If you are using Marketplace boostmyshop modules, the matching is automatically set","Si vous connaissez les références des canaux, sélectionnez l'attribut correspond pour chaque canal de vente"
"shipping","Transport"
"Competitors","Concurrents"
"Supplier attribute","Attribut fournisseur"
"Weight attribute","Attribut poids"
"Weight","poids"
"Cost","Coût"
"Pricing History","Historique des prix"
"Found rank","Position relevée"
"Estimated rank","Position estimée"
"Ean attribute","Attribut EAN"
"Stock attribute","Attribut stock"
"Name attribute","Attribut nom"
"Category attribute","Attribut catégorie"
"Reference attribute","Attribut référence"
"Supplier","Fournisseur"
"Per category","Par catégories"
"Per brand","Par marque"
"Per supplier","Par fournisseur"
"Competitor","Concurrent"
"Offers count","Nb d'offres couvertes"
"BBW count","Dont BBW"
"View products","Voir les produits"
"Price adjustment","Ajustement de prix"
"Select the seller you want to compete with","Méthode de sélection du vendeur avec lequel s'ajuster"
"Fill the percent or the value to apply to the adjustment method","Valeur ou pourcentage à appliquer à la méthode d'ajustement"
"If several rules are available for one product, the rule with the highest priority will be used","Si plusieurs règles sont disponibles pour un produit, la règle avec la plus forte priorité sera utilisée"
"Change behaviour","Modifier le comportement"
"Products to monitor","Produits à surveiller"
"Products to reprice","Produits à repricer"
"Shipping cost","Coût de la livraison"
"Profit margins","Marges"
"Minimum price","Limite minimum des prix de vente  "
"Maximum price","Limite maximum des prix de vente"
"No rule Found","Aucune règle trouvée"
"Rule","Règle"
"Product conditions","Conditions sur les produits"
"Rule type","Type de règle"
"Please configure credentials first","Veuillez d'abord configurer vos identifiants"
"Carl status","Statut Carl"
"Configuration progress","Avancement de la configuration"
"Enable expert mode","Activer le mode expert"
"Enable expert mode to fine tune rules","Activez le mode expert pour personnaliser finement les règles"
"All offers","Toutes les offres"
"My IP","Mon IP"
"If you experience connection issues, make sure that your IP is white list by boostmyshop","Si vous avez des problèmes de connexion, assurez vous que votre IP soit validée par boostmyshop"
"Amazon MWS credentials","Identifiants Amazon MWS"
"Subscription","Inscription"
"Initial catalog export","Premier export catalogue"
"Fields mapping","Mappage des champs"
"Rule configuration","Configuration des règles"
"Setup complete","Terminé"
"Allow zero shipping cost","Autoriser les frais de port à 0"
"If disabled, an exception is raised if shipping cost calculation is zero","Si non, une erreur est déclenchée lorsque le calcul des frais de port donne 0"
"No competitor price","Prix sans concurrent"
"Store calculated shipping in attribute","Stocker les frais de port dans l'attribut"
"Edit Rule '%s' (%s)","Editer la règle '%s' (%s)"
"Shipping price calculation","Calcul des frais de port"
"Create new grid","Ajouter une nouvelle grille"
"Shipping grids","Grilles d'expédition"
"Add row","Ajouter une ligne"
"Delete","Supprimer"
"Grid name must have at least %s caracters","Le nom de la grille doit être composé d'au moins %s caractères"
"Shippings","Expéditions"
"Cost","Coût"
"Lower than", "Inférieur à"
"Bigger than","Supérieur à"
"Base cost","Coût de base"
"Cost shipping","Coût d'envoi"
"Reprice","Recalculer les prix"
"No rows selected","Aucune ligne selectionné"
"Save Rule","Sauvegarder la règle"
"Weight","Poids"
"Save":"Sauvegarder"
"A recalculation of your prices is in progress due of the configuration modifications","Un recalcul de vos prix est en cours suite à des modifications de la configuration"
"amazon_fr_default","Amazon.fr"
"cdiscount_fr_default","Cdiscount.com"
"amazon_fr_default","Amazon.fr"
"amazon_de_default","Amazon.de"
"amazon_es_default","Amazon.es"
"amazon_it_default","Amazon.it"
"amazon_uk_default","Amazon.uk"
"amazon_us_default","Amazon.com"
"amazon_us_default","Amazon.com"
"amazon_us_default","Amazon.com"
"pixmania_fr_default","Pixmania.fr"
"cdiscount_fr_default","Cdiscount.fr"
"rueducommerce_fr_default","Rueducommerce.fr"
"priceminister_fr_default","Priceminister.fr"
"fnac_fr_default","Fnac.fr"
"laredoute_fr_default","Laredoute.fr"
"darty_fr_default","Darty.fr"
"boulanger_fr_default","Boulanger.fr"
"mistergooddeal_fr_default","Mistergooddeal.fr"
"ldlc_fr_default","Ldlc.fr"
"google_fr_default","Google.fr"
"bol_nl_default","Bol.com"
"google_de_default","Google.de"
"google_uk_default","Google.co.uk"
"target_position","Position cible"
"my_position","Ma position"
"General","Général"
"Main competitors","Compétiteurs principaux"
"Offers","Offres"
"Offers with you","Offres avec vous"
"Buy box winner","Meilleure offre"
"Sellers","Vendeurs"
"Offers without competitors","Offres sans vendeur"
"Offers with 1 competitor","Offres avec 1 vendeur"
"Offers with 2 competitors","Offres avec 2 vendeurs"
