"%s was successfully added to your shopping cart.","%s sikeresen a kosárba téve."
"&laquo; Back to Select Addresses","&laquo; Vissza a címek kiválasztásához"
"&laquo; Back to Shopping Cart","&laquo; Vissza a kosárhoz"
"&laquo; Back to Billing Information","&laquo; Vissza a számlázási információkhoz"
"* Required Fields","* Kötelező kitölteni"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","<a href=""%s""><strong>%s termék</strong></a> van a kosárban."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s""><strong>1 termék</strong></a> van a kosárban."
"Enter your coupon code if you have one.","Adja meg a kupon kódját ha rendelkezik vele."
"Enter your destination to get a shipping estimate.","Adja meg a szállítás címét a fuvardíj becsléséhez."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Adjon meg valós irányító számot."
"Default Shipping","Alapértelmezett szállítás"
"Default Billing","Alapértelmezett számlázás"
"Based on your selection, you may be interested in the following items:","Alapozva a választására, talán a következő termékeink is érdekelni fogják:"
"New Address","Új cím"
"Add New Address","Új cím hozzáadása"
"New Condition","Új feltétel"
"Add New Condition","Új feltétel hozzáadása"
"You have no items in your shopping cart.","Az Ön bevásárlókosara üres."
"Excl. Tax","Áfa nélkül"
"Incl. Tax","Áfával"
"Status","Állapot"
"Price","Ár"
"Discount Codes","Árengedmény kódok"
"Enter a New Address","Írjon be új címet"
"Add to Compare","Összehasonlít"
"Invalid data","Érvénytelen adat"
"Invalid email address ""%s""","Érvénytelen e-mail cím ""%s"""
"Invalid shipping method.","Érvénytelen szállítási mód."
"Login","Bejelentkezés"
"Shopping Cart","Bevásárlókosár"
"Shopping Cart is Empty","Bevásárlókosár üres"
"Update Shopping Cart","Bevásárlókosár frissítése"
"Display Shopping Cart Sidebar","Bevásárlókosár mutatása a sidebar-on"
"Shopping Cart Sidebar","Bevásárlókosár sidebar"
"Close","Bezár"
"Are you sure you would like to remove this item from the shopping cart?","Biztos benne hogy el akarja távolítani ezt a terméket a kosárból?"
"Store View","Bolt nézet"
"Company","Cégnév"
"Edit Address","Cím szerkesztése"
"Address","Címek"
"Address %s of %s","Címek %s - %s"
"Save in address book","Címjegyzékbe ment"
"Checkbox text","Checkbox szöveg"
"Grouped product image","Csoportos termék kép"
"Email Address","E-mail cím"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Egy e-mail üzenetet fog kapni a rendelés visszaigazolásáról, és egy linket a nyomonkövetéséhez."
"Other items in your order","Egyéb elemek a rendelésében"
"Disable Onepage Checkout","Egyoldalas pénztár tiltása"
"Unit Price","Egységár"
"Sales","Eladások"
"Edit Items","Elemek szerkesztése"
"Cannot remove item","Elemet nem sikerült eltávolítani"
"Forgot an Item?","Elfelejtett valamit?"
"Forgot your password?","Elfelejtette jelszavát?"
"Sorry, Onepage Checkout is disabled.","Elnézést, de a pénztár le van tiltva."
"Remove item","Eltávolít"
"Remove Item","Eltávolít"
"Remove","Eltávolít"
"separate by "",""","elválasztó: "","""
"Enabled","Engedélyezve"
"This condition no longer exists","Ez a feltétel nem létezik többé"
"Fax","Fax"
"Enable Terms and Conditions","Felhasználási feltételek engedélyezése"
"Edit Terms and Conditions","Felhasználási feltételek szerkesztése"
"Condition Name","Feltétel neve"
"Condition was successfully saved","Feltétel sikeresen mentve"
"Condition was successfully deleted","Feltétel sikeresen törölve"
"Delete Condition","Feltétel törlése"
"Save Condition","Feltételek mentése"
"Send Payment Failed Email Copy To","Fizetés sikertelen e-mail másolat címzett"
"Send Payment Failed Email Copy Method","Fizetés sikertelen e-mail másolat küldési mód"
"Payment Information","Fizetési információk"
"Payment Method","Fizetési mód"
"Payment method is not defined","Fizetési mód nincs megadva"
"Terms and Conditions","Használati feltételek"
"Terms and conditions","Használati feltételek"
"Terms and Conditions Information","Használati feltételek info"
"Error while saving this condition. Please try again later.","Hiba a feltétel mentésekor, próbálja meg később."
"Error while deleting this condition. Please try again later.","Hiba a feltétel törlésekor, próbálja meg később."
"An error occurred in the process of payment","Hiba lépett fel a fizetési folyamatban"
"There was an error processing your order. Please contact us or try again later.","Hiba történt a rendelés feldolgozása közben. Lépjen kapcsolatba velünk, vagy próbálja meg később."
"HTML","HTML"
"ID","ID"
"Quote Lifetime (days)","Időszak (nap)"
"Zip/Postal Code","Irányítószám"
"Please log in below:","Itt tud bejelentkezni:"
"Password","Jelszó"
"Confirm Password","Jelszó újra"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kattintson <a href=""%s"" onclick=""this.target='_blank'"">ide a nyomtatáshoz</a> ami a rendelésvisszaigazolást tartalmazza."
"Card Verification Number Visual Reference","Kártya ellenőrző kód, Látható hivatkozás"
"Please <a href=""%s"">continue shopping</a>.","Kérjük <a href=""%s"">folytassa a vásárlást</a>."
"Please agree to all Terms and Conditions before placing the orders.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi megrendeléseit."
"Please agree to all Terms and Conditions before placing the order.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi rendelését."
"Move to Wishlist","Kívánságlistára"
"Add to Wishlist","Kívánságlistára"
"Fast and easy check out","Könnyű és gyors vásárlás"
"Easy access to your order history and status","Könnyű hozzáférés a rendelés történethez és állapothoz."
"Thank you for your purchase!","Köszönjük hogy nálunk vásárolt!"
"Loading next step...","Következő lépés betöltése..."
"Send to","Küldés ide"
"Configurable product image","Konfigurálható termék képe"
"My Cart","Kosaram"
"My Cart (%s items)","Kosaram (%s termék)"
"My Cart (%s item)","Kosaram (%s termék)"
"Display Cart Summary","Kosár összesítő mutatása"
"My Cart Link","Kosár link"
"Cart Subtotal:","Kosár részösszeg:"
"Edit Your Cart","Kosár szerkesztése"
"Cannot update shopping cart","Kosárat nem sikerült frissíteni"
"Add to Cart","Kosárba rak"
"Apply Coupon","Kupon érvényesítése"
"Coupon code ""%s"" is not valid.","Kupon kód ""%s"" nem érvényes."
