"* Required Fields","* Camps requerits"
"XML","22"
"To Cart","A la cistella"
"Action","Acció"
"Update","Actualitza"
"Update customer address data","Actualitza dades adreça de client"
"Update customer data","Actualitza dades de client"
"You are currently subscribed to 'General Subscription'.","Actualment esteu subscrit a la 'Subscripció General'."
"You are currently subscribed to our newsletter","Actualment esteu subscrit al nostre butlletí de notícies"
"You are currently subscribed to our newsletter.","Actualment esteu subscrit al nostre butlletí de notícies"
"You are currently not subscribed to any newsletter.","Actualment no esteu subscrit a cap butlletí de notícies."
"You are currently not subscribed to our newsletter","Actualment no esteu subscrit al nostre butlletí de notícies."
"Admin","Administració"
"Default Shipping Address","Adreça d'enviament per defecte"
"Primary Shipping Address","Adreça d'enviament principal"
"Default Billing Address","Adreça de facturació per defecte"
"Primary Billing Address","Adreça de facturació principal"
"Added From","Afegit des de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear un compte a la nostra botiga, podreu realitzar el procés de compra més ràpidament, fer un enviament a múltiples adreces, fer les vostres comandes, fer un seguiment de les vostres comandes i molt més. "
"Unsubscribe from newsletter","Anul·la la subscripció al butlletí de notícies"
"Year","Any"
"Customer Api","Api client"
"Approved","Aprovat"
"Sign Up for Newsletter","Apuntar-se al butlletí de notícies"
"Sign up for our newsletter","Apuntar-se al nostre butlletí de notícies"
"This customer has no saved addresses.","Aquest client no ha desat les seves adreçes"
"This account is not confirmed.","Aquest compte no està confirmat."
"This e-mail does not require confirmation.","Aquest correu electrònic no requereix confirmació."
"This email address was not found in our records","Aquesta adreça de correu electrònic no va ser trobada en els registres"
"This is My Primary %s Address","Aquesta és la meva %s adreça principal"
"Last Activity","Última activitat"
"Last date unsubscribed","Última data de descripció"
"Last date subscribed","Última data de subscripció"
"Last Url","Última URL"
"Last 5 Orders","Últimes 5 comandes"
"Last Viewed Items","Últims articles vists"
"Assign a customer group","Assigna un grup de clients"
"Subject","Assumpte"
"Account Dashboard","Àrea d'administració de comptes"
"Store","Botiga"
"Invalid store specified, skipping the record","Botiga invàlida, omet el registre"
"Deleted Stores","Botigues eliminades"
"Newsletter","butlletí de notícies"
"Newsletter Received","Butlletí de notícies rebut"
"Newsletters","Butlletins de notícies"
"Cancel","Cancel·la"
"Change Password","Canvia la contrasenya del compte"
"Change Account Password","Canvia la contrasenya del compte"
"Change Shipping Address","Canvia la direcció d'enviament"
"Change Billing Address","Canvia la direcció de facturació"
"Street Address ","Carrer "
"Street Address","Carrer"
"Lifetime Sales","Cicle de vendes "
"Shopping Cart","Cistella de la compra"
"Shopping Cart - %d item(s)","Cistella de la compra- %d article(s)"
"City","Ciutat"
"Tax class","Classe de l'impost"
"Tax Class","Classe de l'impost"
"New account confirmation key","Clau de confirmació del nou compte"
"Wrong confirmation key.","Clau de confirmación incorrecta."
"Customer","Client"
"Customer Since","Client des de"
"Customers","Clients"
"Online Customers","Clients connectats"
"Registered Customers","Clients registrats"
"SKU","Codi"
"ZIP","Codi postal"
"ZIP/Post Code","Codi postal"
"ZIP/Postal Code","Codi postal"
"Zip/Postal Code","Codi postal"
"Last Name","Cognom"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Items Order","Comanda d'articles"
"Orders","Comandes"
"Recent Orders","Comandes recents"
"Product Reviews","Comentaris del producte"
"Share Customer Accounts","Comparteix els comptes de clients"
"Bought From","Comprat des de"
"Purchased at","Comprat el"
"Purchase On","Comprat en "
"Please, check your e-mail for confirmation key.","Comproveu el vostre correu electrònic per la clau de confirmació.""
Prefix"""
"Wrong customer account specified.","Compte de client especificat incorrecte."
"Set as Default Shipping Address","Configura com a direcció d'enviament per defecte"
"Set as Default Billing Address","Configura com a direcció de facturació per defecte"
"Config","Configuració"
"Customer Configuration","Configuració del client"
"Confirm Password","Confirma la contrasenya"
"Confirm New Password","Confirma la nova contrasenya"
"Confirmed","Confirmat"
"Invalid attribute set specified, skipping the record","Conjunt d'atributs invàlid, omet el registre"
"Online","Connectat"
"Continue Shopping","Continua comprant"
"Password","Contrasenya"
"Current Password","Contrasenya actual"
"Password forgotten","Contrasenya oblidada"
"Email","correu electrònic"
"Welcome Email","Correu electrònic de benvinguda"
"Default Welcome Email","Correu electrònic de benvinguda per defecte"
"Wrong email.","Correu electrònic incorrecte."
"Create","Crea"
"Create customer address","Crea adreça de client"
"Create customer","Crea client"
"Create New Account Options","Crea noves opcions pels comptes"
"Create an Account","Crea un compte"
"Create New Customer Account","Crea un nou compte de client"
"Create Order","Crea una Comanda"
"CSV","CSV"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Date","Data"
"Date Added","Data afegida"
"Date of Birth","Data de naixement"
"DD","DD"
"There are no items in customer's shopping cart at the moment","De moment no hi ha articles a la cistella de la compra del client"
"There are no items in customer's wishlist at the moment","De moment no hi ha articles a la llista d'articles d'interès del client"
"Leave empty for default (15 minutes).","Deixar en blanc per defecte (15 minuts)"
"Leave empty for default (2). Valid range: 1-4","Deixar en blanc per defecte (2). Rang: 1-4"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Des del vostre compte; podeu veure un resum de les vostres activitats recents i actualitzar la informació del vostre compte. Seleccioneu un enllaç inferior per a veure o editar informació."
"Save","Desa"
"Save Address","Desa adreça"
"Save Customer","Desa client"
"Save Password","Desa contrasenya"
"Save Customer Group","Desa grup de client"
"Saved ","Desat"
"Unknown","Desconegut "
"Log Out","Desconnecta"
"Offline","Desconnectat"
"User description","Descripció de l'usuari"
"Disabled","Deshabilitat"
"Details","Detalls"
"Day","Dia"
"Days in Wishlist","Dies a la llista d'articles d'interès"
"Address","Direcció"
"Email Address","Direcció de correu electrònic"
"IP Address","Direcció IP"
"Addresses","Direccions"
"Customer Addresses","Direccions del client"
"Default Addresses","Direccions per defecte"
"Default Email Domain","Domini de correu electrònic per defecte"
"Edit","Edita"
"Edit Group","Edita el grup"
"Edit Customer Group ""%s""","Edita el grup de clients ""%s"""
"Edit Newsletters","Edita els butlletins de notície"
"Edit Customer Groups","Edita els grups de clients"
"Edit Account Info","Edita info. del compte"
"Edit Address Entry","Edita la direcció"
"Edit Address","Edita la direcció"
"Edit Account Information","Edita la informació del compte"
"Edit Personal Information","Edita la informació personal"
"Edit Newsletter Subscription","Edita la subscripció al butlletí de notícies"
"Edit Customer's Address","Edita les direccions dels clients"
"Your account balance is: %s","El balanç del vostre compte és: %s"
"Customer doesn't have primary billing address","El client no posseïx una adreça de facturació principal"
"Customer email already exists","El correu electrònic del client ja existeix"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","El Email de benvinguda serà enviat per defecte després de la confirmació del compte"
"Group ""%s"" can not be deleted","El grup ""%s"" no es pot eliminar"
"Customer Group was successfully saved","El grup de clients s'ha desat amb èxit"
"Customer Group was successfully deleted","El grup de clients s'ha eliminat amb èxit"
"My Account","El meu compte"
"First name can't be empty","El nom és obligatori"
"The title that goes before name (Mr., Mrs., etc.)","El títol abans del nom (Mr., Mrs., etc.)"
"Delete","Elimina"
"Delete customer address","Elimina adreça de client"
"Delete customer","Elimina client"
"Delete Customer","Elimina el client"
"Delete Customer Group","Elimina el grup de clients"
"Delete Address","Elimina la direcció"
"Password fields can't be empty.","Els camps de clau d'accés no pot ser buida."
"Last name can't be empty","Els cognoms és obligatori"
"My Wishlist","Els meus articles d'interès"
"Company","Empresa"
"You have placed no products yet.","Encara no heu col·locat cap producte."
"You have placed no orders yet.","Encara no heu realitzat cap comanda."
"Confirmation Link Email","Enllaç de confirmació del correu electrònic"
"Additional Address Entries","Entrades addicionals de domicili"
"Submit","Envia"
"Ship to Last name","Envia a cognom"
"Ship to First name","Envia a nom"
"Send auto-generated password","Envia contrasenya autogenerada"
"Send welcome email","Envia correu electrònic de benvinguda"
"Send Welcome Email after Confirmation","Envia correu electrònic de benvinguda després de la confirmació"
"Send confirmation link","Envia enllaç de confirmació"
"Sending","Enviant"
"Sent","Enviat"
"Shipped to Last Name","Enviat a cognom"
"Shipped to First Name","Enviat a nom"
"Shipped to Name","Enviat a nom de"
"Error during retrieval of option value: %s","Error durant la recuperació del valor de l'opció: %s"
"Require Emails Confirmation","Es requereix confirmació de correus electrònics"
"Login and password are required","Es requereix la identificador i la contrasenya"
"Sales Statistics","Estadístiques de venda"
"Status","Estat"
"State/Province","Estat / Província"
"Are you sure?","Esteu segur?"
"Product Tags","Etiquetes del producte"
"Missing lastname, skipping the record","Falta el cognom, s'omet el registre"
"Missing email, skipping the record","falta el correu electrònic, omet el registre"
"Fax","Fax"
"Use as My Primary %s Address","Fer servir la meva %s adreça principal"
"Use as my default shipping address","Fer servir per defecte la meva adreça d'enviaments"
"Use as my default billing address","Fer servir per defecte la meva adreça de facturació"
"Newsletter Finish","Final del butlletí de notícies"
"Password Management","Gestió de la contrasenya"
"Manage Addresses","Gestiona adreçes"
"Manage Customers","Gestiona clients"
"Global","Global"
"Thank you for registering with %s","Gràcies per registrar-vos amb %s"
"Group","Grup"
"Customer Group","Grup del client"
"Default Group","Grup per defecte"
"Customer Groups","Grups de clients"
"Save And Continue Edit","Guarda i segueix editant"
"Forgot Your Password?","Heu oblidat la vostra contrasenya?"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Heu sortit amb èxit del sistema i sereu redirigit a la nostra pàgina d'inici en 5 segons."
"You're now Logged Out","Heu tancat la vostra sessió correctament"
"Problem saving the collection, aborting. Error: %s","Hi ha hagut un problema desant la col·lecció. Cancel·lant. Error: %s"
"Hello, %s!","Hola, %s!"
"Session Start Time","Hora de inici de la sessió"
"HTML","HTML"
"ID","ID"
"Invalid option id specified for %s (%s), skipping the record","ID de opció no vàlida per %s (%s), omet el registre"
"Product ID","ID de producte"
"Wrong region id by selected country","ID de regió incorrecte per al país seleccionat"
"Amount","Import"
"Grand Total","Import total"
"Grand Total: %s","Import total: %s"
"Login Information","Informació d'inici de sessió"
"Contact Information","Informació de contacte"
"Address Information","Informació de l'adreça"
"Shipping Information","Informació de l'enviament"
"Billing Information","Informació de la facturació"
"Newsletter Information","Informació del butlletí de notícies "
"Customer Information","Informació del client"
"Account Information","Informació del compte"
"Group Information","Informació del grup"
"Personal Information","Informació personal"
"Customer Login","Inici de sessió del client"
"Newsletter Start","Inici del butlletí de notícies"
"Login","Inicia sessió"
"Log In","Inicia sessió"
"Login or Create an Account","Inicia sessió o crea un compte"
"Log in or Create an Account","Inicia sessió o crea un compte"
"Add New Customer","Insereix un nou client"
"Add New Customer Group","Insereix un nou grup de clients"
"Add New Address","Insereix una nova direcció"
"Online Minutes Interval","Interval de minuts connectats"
"Please enter your email below and we'll send you confirmation link for it.","Introduiu el vostre correu electrònic a sota i us enviarem l'enllaç per confirmar-lo."
"Guest","Invitat"
"Invalid email address ""%s""","L'adreça de correu electrònic %s no és vàlida"
"Invalid email address","L'adreça de correu electrònic no és vàlida"
"The address does not belong to this customer","L'adreça no pertany a aquest client"
"The address was successfully saved","L'adreça s'ha desat amb èxit"
"The address was successfully deleted","L'adreça s'ha eliminat amb èxit"
"Invalid login or password.","L'identificador o la contrasenya no són vàlids."
"Account information was successfully saved","L'informació del compte s'ha desat amb èxit"
"Password can't be empty","La clau d'accés no pot ser buida."
"Failed to confirm customer account.","La confirmació del compte del client ha fallat."
"Invalid current password","La contrasenya actual no és vàlida"
"Password minimal length must be more %s","La contrasenya ha de tenir %s caràcters com a mínim"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contrasenya ha de tenir 6 caràcters com a mínim. Els espais en blanc seran ignorats."
"Date of Birth is required.","La data de naixement és obligatori."
"My Dashboard","La meva àrea d'administració"
"My Account Dashboard","La meva àrea d'administració"
"Invalid customer data","Les dades del client no són vàlides"
"My Orders","Les meves comandes"
"My Tags","Les meves etiquetes"
"My Reviews","Les meves opinions"
"Address Book","Llibreta d'adreces"
"Wishlist","Llista d'articles d'interès"
"Wishlist - %d item(s)","Llista d'articles d'interès - %d article(s)"
"Order List...","Llista de comandes..."
"Website","Lloc web"
"M.I.","M.I."
"Never","Mai"
"Shipping Method","Mètode d'enviament"
"Payment Method","Mètode de pagament"
"Month","Mes"
"MM","MM"
"Show date of birth","Mosta data de naixement"
"Show Tax/VAT number","Mostra número CIF/NIF"
"Show prefix","Mostra prefix"
"Show suffix","Mostra sufix"
"n/a","n/d"
"Tax/VAT number","Número CIF/NIF"
"TAX/VAT number is required.","Número CIF/NIF és necessari"
"Not confirmed, cannot login","No confirmat, no pot iniciar sessió"
"Not confirmed, can login","No confirmat, pot iniciar sessió"
"Can't save customer","No es pot desar el client"
"Can't save address","No es pot desar l'adreça"
"You have not set a primary shipping address.","No heu indicat una adreça d'enviament principal."
"You have not set a primary billing address.","No heu indicat una adreça de facturació principal."
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No pot compartir els comptes dels clients globals. Degut a que alguns comptes de clients amb els mateixos missatges de correu electrònic existents en diversos llocs web i no es poden combinar."
