"* Required Fields","* Campos requeridos"
"Comment","Comentario"
"Contact Us","Contactar"
"Contacts","Contactos"
"Email","Correo electrónico"
"Submit","Enviar"
"Send Emails To","Enviar correos electrónicos a"
"Contact Form","Formulario de contacto"
"Enable Contact Us","Habilitar Contáctenos"
"Unable to submit your request. Please, try again later","Imposible procesar su solicitud. Por favor inténtelo más tarde"
"Contact Information","Información de contacto"
"Name","Nombre"
"Email Options","Opciones de correo electrónico"
"Email Template","Plantilla del correo electrónico"
"Email Sender","Remitente del correo electrónico"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Su solicitud fue enviada y estaremos respondiendo lo antes posible. Gracias por contactar con nosotros."
"Telephone","Teléfono"
