"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a été ajouté à votre liste-cadeaux. Cliquez <a href=""%2$s"">ici</a> pour poursuivre vos achats"
"* Required Fields","* Champs requis"
"Enabled","Activé"
"Email addresses, separated by commas","Adresses courriel, séparées par des virgules"
"Added On","Ajouté le"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"Go to Wishlist","Aller à la liste-cadeaux"
"Are You sure?","Êtes-vous certain ?"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous certain de vouloir enlever ce produit de votre liste-cadeaux ?"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste-cadeaux"
"Comment","Commentaire"
"Last Added Items","Derniers articles ajoutés"
"There was an error while adding item to wishlist.","Erreur lors de l'ajout d'un article dans la liste-cadeaux."
"There was an error while adding item to wishlist: %s","Erreur lors de l'ajout d'un article dans la liste-cadeaux: %s"
"There was an error while deleting item from wishlist.","Erreur lors de la suppression d'un article de la liste-cadeaux."
"There was an error while deleting item from wishlist: %s","Erreur lors de la suppression d'un article de la liste-cadeaux: %s"
"Are you sure you would like to remove this item from the wishlist?","Etes-vous certain de vouloir supprimer cet article de la liste cadeaux?"
"Email Sender","Expéditeur du courriel"
"RSS Feed","Flux RSS"
"Email Template","Gabarit du courriel"
"Cannot create wishlist","Impossible de créer la liste-cadeaux"
"Can't save description %s","Impossible de sauvegarder la description %s"
"Cannot specify product","Impossible de spécifier le produit"
"Sharing Information","Information de partage"
"Wishlist is empty now.","La liste-cadeaux est vide maintenant."
"Email address can't be empty.","Le courriel ne peut être vide."
"RSS link to %s's wishlist","Lien RSS vers la liste-cadeaux de %s"
"Wishlist","liste-cadeaux"
"%s's Wishlist","liste-cadeaux de %s"
"My Wishlist","Ma liste-cadeaux"
"My Wishlist (%d item)","Ma liste-cadeaux (%d article)"
"My Wishlist (%d items)","Ma liste-cadeaux (%d articles)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Ma liste-cadeaux - <a href=""%s"">%d Article(s)</a>"
"Message","Message"
"Update Wishlist","Mettre à jour"
"Share options","Options de partage"
"General Options","Options générales"
"Wishlist Sharing","Partage de liste-cadeaux"
"Share Wishlist","Partager la liste-cadeaux"
"Share Your Wishlist","Partagez votre liste-cadeaux"
"Product","Produit"
"This product(s) is currently out of stock:","Produit(s) en rupture de stock:"
"Remove Item","Retirer l'article"
"Back","Retour"
"Add All to Cart","Tout ajouter au panier"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Veuillez saisir une liste d'adresses courriel valide, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Veuillez saisir vos commentaires..."
"View Product","Voir produit"
"Your Wishlist was successfully shared","Votre liste-cadeaux a été partagée"
"You input not valid email address.","Vous avez saisi une adresse courriel non valide."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste-cadeaux."
