"%s already exists","%s existe déjà"
"%s already exist","%s existent déjà"
"* Required Fields","* Champs requis"
"-- Please Select --","-- Votre choix --"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour la partie publique"
"Admin User","Administrateur"
"Store Email Addresses","Adresses courriel du magasin"
"Add Store Code to Urls","Ajouter le code de boutique aux URLs"
"Go","Aller"
"Cancel","Annuler"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour de mise en page, Mage_Core_Model_Layout_Element attendu"
"Template Path Hints","Astuce chemin des gabarits"
"You have no items to compare.","Aucun article à comparer."
"Allow countries","Autoriser les pays"
"Advanced","Avancé"
"Before modifying the store view code please make sure that it is not used in index.php","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans index.php"
"Before modifying the website code please make sure that it is not used in index.php","Avant de modifier le code du site web, assurez-vous qu'il n'est pas utilisé dans index.php"
"Edit Store View","Éditer la vue magasin"
"Edit Design Change","Éditer le changement de design"
"Invalid block: %s","Bloc non valide: %s"
"Root Category","Catégorie racine"
"This is a required field.","Ce champ est requis."
"This Store cannot be deleted","Ce magasin ne peut pas être supprimé"
"This Store cannot be deleted.","Ce magasin ne peut pas être supprimé."
"This Website cannot be deleted","Ce site web ne peut pas être supprimé"
"This Website cannot be deleted.","Ce site web ne peut pas être supprimé."
"This category and its child categories","Cette catégorie et ses catégories filles"
"This category and its products","Cette catégorie et ses produits"
"This category only","Cette catégorie seulement"
"This Store View cannot be deleted","Cette vue magasin ne peut pas être supprimée"
"This Store View cannot be deleted.","Cette vue magasin ne peut pas être supprimée."
"Design Change","Changement de design"
"Target path for specified store","Chemin cible pour les magasins spécifiés"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide: %s"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Cookie Path","Chemin du cookie"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"Code","Code"
"Invalid transactional email code: ","Code de courriel transactionnel invalide :"
"Comment","Commentaire"
"Compare Items","Comparer les articles"
"Compare Products","Comparer les produits"
"Compare Products - %d Items","Comparer les produits - %d articles"
"General contact","Contact général"
"Contact Us","Contactez-nous"
"Email","Courriel"
"Sender email","Courriel de l'expéditeur"
"Custom email 1","Courriel personnalisé 1"
"Custom email 2","Courriel personnalisé 2"
"Create Store","Créer un magasin"
"Create Website","Créer un site web"
"Create Store View","Créer une vue magasin"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tâches programmées) - toutes les durées sont en minutes"
"Start date can't be greater than end date","Date de début ne peut être après la date de fin"
"Default","Défaut"
"Set as default","Définir par défaut"
"Disable modules output","Désactiver la sortie des modules"
"Disable email communications","Désactiver les communications courriels"
"Developer","Développeur"
"Debug","Deboguage"
"Design","Design"
"Custom Design","Design personnalisé"
"Cookie Domain","Domaine du cookie"
"Duplicate Of Template Code","Duplication du code de gabarit"
"Cookie Lifetime","Durée de vie des cookies"
"Delete Store View","Effacer la vue magasin"
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Effacer un magasin n'effacera pas les informations associées à ce magasin (par ex. les catégories, les produits, etc.), mais le magasin ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le magasin."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Effacer un site web n'effacera pas les informations associées à ce site web (par ex. les catégories, les produits, etc.), mais le site web ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le site web."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Effacer une vue magasin n'effacera pas les informations associées à cette vue magasin (par ex. les catégories, les produits, etc.), mais la vue magasin ne pourra pas être restaurée. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer la vue magasin."
"Date From","Entre le"
"Submit","Envoyer"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Date To","et le"
"Are you sure?","Etes-vous certain ?"
"Forgot Password Email Sender","Expéditeur du courriel d'oubli de mot de passe"
"Timezone","Fuseau horaire"
"Forgot Password Email Template","Gabarit du courriel d'oubli de mot de passe"
"Templates","Gabarits"
"Keep your eyes open for our special Back to School items and save A LOT!","Gardez vous yeux ouverts pour nos articles spéciaux Retour en classe et économisez UN MAX!"
"General","Général"
"Manage Stores","Gérer les magasins"
"Session Cookie management","Gestion des cookies de session"
"Global","Global"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Unable to delete Store View. Please, try again later.","Impossible d'effacer la vue magasin. Veuillez réessayer ultérieurement."
"Cannot Delete Email Template","Impossible d'effacer le gabarit de courriel"
"Unable to delete Store. Please, try again later.","Impossible d'effacer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete Website. Please, try again later.","Impossible d'effacer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unable to create backup. Please, try again later.","Impossible de faire une sauvegarde. Veuillez réessayer ultérieurement."
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Contact Information","Information de contact"
"Store View Information","Information de vue magasin"
"Store Information","Informations magasin"
"Website Information","Informations site web"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Database was successfuly backed up.","La base de données a été sauvegardée."
"Model class does not exist: %s","La classe modèle n'existe pas: %s"
"Resource is not set","La ressource n'est pas configurée"
"Store View was successfully deleted.","La vue magasin a été effacée"
"Store View was successfully saved","La vue magasin a été sauvegardée"
"Store View not exists","La vue magasin n'existe pas"
"Leave empty for access from any location","Laisser vide pour accéder depuis n'importe quelle IP"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des tirets bas (_), et le premier caractère doit être une lettre"
"Controller file was loaded but class does not exist","Le fichier de controlleur a été chargé mais la classe n'existe pas"
"Store was successfully saved","Le magasin a été sauvegardé"
"Store was successfully deleted.","Le magasin a été supprimé"
"Store not exists","Le magasin n'existe pas"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Website was successfully saved","Le site web a été sauvegardé"
"Website was successfully deleted.","Le site web a été supprimé"
"Website not exists","Le site web n'existe pas"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des tirets bas (_), et le premier caractère doit être une lettre"
"Invalid base dir type specified: %s","Le type de répertoire de base spécifié est non valide: %s"
"Store","Magasin"
"Store with the same code","Magasin avec le même code"
"Default Store","Magasin par défaut"
"Stores","Magasins"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Layout","Mise en page"
