"Customer Referrals","Los apadrinados del cliente"
"Referral ID","ID del apadrinado"
"Customer ID","ID del cliente"
"Customer Name","Nombre del cliente"
"Referral Customer ID","ID de cliente De apadrinado"
"Referral Name","Nombre del apadrinado"
"Referral Email","Correo electr&oacute;nico del apadrinado"
"Status","Estado"
"Delete","Borrar"
"Are you sure?","¿Est&aacute;s seguro?"
"Please specify either a referral e-mail address or referral code.","Por favor, especifica un correo electr&oacute;nico del apadrinado o un c&oacute;digo del apadrinado."
"Please enter a valid email address.","Por favor introduce una direcci&oacute;n v&aacute;lida de correo electr&oacute;nico."
"There was a problem with the invitation.","Hubo un problema con la invitaci&oacute;n."
"There was a problem saving your preferences.","Hubo un problema al guardar tus apadrinados."
"Please enter your referral's name.","Por favor introduce el nombre de tu apadrinado."
"Your preferences were saved successfully.","Tus preferencias se guardaron con &eacute;xito."
"Referrals","Apadrinados"
"No referral","Nung&uacute;n apadrinado"
"Points were successfully saved","Los puntos fueron guardados con &eacute;xito"
"Unable to save","No se pudo guardar"
"Referral was successfully deleted","El apadrinado fue eliminado con &eacute;xito"
"Please select referrals","Por favor selecciona apadrinados"
"Referral Program","Programa de Apadrinados"
"Extension Developed By WWW.WDCA.CA","Extensi&oacute;n Desarrollada por WWW.WDCA.CAb"
"Show referral link","Mostrar el enlace del apadrinado"
"Show in onepage checkout","Mostrar en onepagecheckout"
"Show in create account page","Mostrar en la p&aacute;gina de crear cuenta"
"Enable refer by e-mail","Habilitar, referir por correo electr&oacute;nico"
"Enable refer by code","Habilitar, referir por c&oacute;digo"
"Enable refer by URL","Habilitar, referir por URL"
"Show invite customer form","Mostrar formulario de invitaci&oacute;n de clientes"
"Show prefererences section","Mostrar la secci&oacute;n de preferencias"
"Show referral history","Mostrar el historial del apadrinado"
"Affiliate Redirect Path","Ruta de acceso de la redirecci&oacute;n del Afiliado"
"Customer Referral Invitation","Invitaci&oacute;n del cliente apadrinado "
"Customer Referral New Earnings Notification","Notificaci&oacute;n de Nuevas Ganancias del cliente apadrinado"
"Referral e-mail may not be empty.","El correo electr&oacute;nico del apadrinado no puede estar vac&iacute;o."
"No","No"
"Yes","Si"
"Referral e-mail and customer e-mail may not be the same.","El correo electr&oacute;nico del apadrinado y el correo electr&oacute;nico del cliente no pueden ser iguales."
"Signed Up","Registrado"
"Made First Order","Hizo su primer Pedido"
"Message Sent","Mensaje enviado"
"Unknown","Desconocido"
"Referral signs up to website","El apadrinado se registra al sitio web"
"Referral makes any order","El apadrinado realiza cualquier pedido"
"Fixed Amount When Referral Makes First Order","Cantidad fija cuando el apadrinado realiza su primer pedido"
"% of Points Earned By Referral","% de puntos ganados por el apadrinado"
"Fixed Amount","Cantidad fija"
"Referral makes first order","El apadrinado realiza su primer pedido"
"Referred Customer","Cliente Apadrinado"
"Notify on Referral","Notificar cualquier apadrinado"
"My Referrals","Mis Apadrinados"
"Referral Preferences","Preferencias del apadrinado"
"Notify me when I earn points from my referral","Avisame cuando gano puntos por mi apadrinado"
"Save Preferences","Guardar preferencias"
"Full Name","Nombre"
"Email","Correo electr&oacute;nico"
"Registered?","¿Registrado?"
"Accumulated Earnings","Ganancias"
"yes","si"
"no","no"
"You don't have any referrals yet.","No tienes ningun apadrinado todav&iacute;a."
"Referral Codes and URL","C&oacute;digos y URL del apadrinado"
"Your Referral URL","La URL para tu apadrinado"
"Your Referral Code","El c&oacute;digo para tu apadrinado"
"Your Referral Email","El correo electr&oacute;nico para tu apadrinado"
"Referrals that access this URL are connected as referrals once they signup or place an order.","Los apadrinados que acceden a esta URL, se conectan como apadrinados una vez que se registran o realizan un pedido."
" Referrals should enter the code at checkout or signup."," Los apadrinados deber&aacute;n introducir el c&oacute;digo al realizar el pedido o al registrarse."
"Referrals should enter your e-mail address at checkout or signup.","Los apadrinados deben introducir TU correo electr&oacute;nico al realizar el pedido o al registrarse."
"Invite One Person","Invita a una persona"
"Short Message","Mensaje Corto"
"* Required Fields","* Campos requeridos"
"Back","Atr&aacute;s"
"Send","Enviar"
"Friend's name","Nombre del amigo"
"Friend' name","Nombre del amigo"
"Friend's email address","Correo electr&oacute;nico del amigo"
"Send Invitations","Enviar invitaciones"
"To","A"
"To reduce the chance that your message is marked as spam, please follow this format:","Para reducir la posibilidad de que tu mensaje sea marcado como spam, por favor, sigue el siguiente formato:"
"Example contact list:","Ejemplo de lista de contactos:"
"Subject (Optional)","Asunto (Opcional)"
"Subject","Asunto"
"Message (Optional)","Mensaje (Opcional)"
"Send Invitiation(s)","Enviar invitaci&oacute;n(es)"
"Import contacts from sources yahoo, gmail, outlook, etc","Importar contactos desde yahoo, gmail, Outlook, etc"
"Import contacts","Importar contactos"
"Referral Information","Informaci&oacute;n del apadrinado"
"Referral E-mail","Correo electr&oacute;nico del apadrinado"
"Referral Code","C&oacute;digo del apadrinado"
"Referral E-mail or Code","Correo electr&oacute;nico o C&oacute;digo del apadrinado"

