"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"Copyright","(C)Copyright"
"-- Please Select --","-- Vennligst velg --"
"Enabled","Aktivert"
"Enabled for Admin","Aktivert for Admin"
"Enabled for Frontend","Aktivert for Frontend"
"Backup options","Alternativer for backup"
"Countries options","Alternativer for land"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angitt dato/tid ""%1$s"" er feil i forhold til ""%2$s""."
"Advanced","Avansert"
"Cancel","Avbryt"
"Forgot Password Email Sender","Avsender for ""Glemt passord""-epost"
"Sender email","Avsenders epost"
"Sender name","Avsenders navn"
"Polls","Avstemninger"
"Your session has been expired, you will be relogged in now.","Økten har utløpt. Du vil nå logges inn på nytt."
"Back to Main Product Info","Back to Main Product Info"
"Base URL","Base URL"
"Developer Client Restrictions","Begrensninger for utviklingsklient"
"Session Cookie management","Behandle økt-informasjonskapsler"
"Manage Stores","Behandle butikker"
"Blocks HTML output","Block HTML output"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette datoformatet: DD/MM/ÅÅÅÅ. For eksempel 17/03/2006 for 17. mars, 2006."
"Use custom admin URL","Bruk egendefinert admin URL"
"Please use letters only (a-z or A-Z) in this field.","Bruk kun bokstaver (a-z or A-Z) i dette feltet."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bruk kun bokstaver (a-z) eller tall (0-9) i dette feltet. Ingen mellomrom eller andre tegn er tillatt."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bruk kun bokstaver (a-z), tall (0-9) eller understrek (_) i dette feltet. Første tegn må være en bokstav."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bruk kun bokstaver (a-z), tall (0-9), mellomrom eller # i dette feltet."
"Use HTTP Only","Bruk kun HTTP"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Bruk kun tall i dette feltet. Unngå mellomrom og andre tegn som punktum og komma."
"Use Web Server Rewrites","Bruk søkemotorvennlige URL-er"
"Use Secure URLs in Admin","Bruk sikre URL-er i Admin"
"Use Secure URLs in Frontend","Bruk sikre URL-er i Frontend"
"Set as default","Bruk som standard"
"Store","Butikk (Store)"
"Store was successfully deleted.","Butikk (Store) ble slettet."
"Store with the same code","Butikk (Store) med samme kode"
"Store doesn't exist","Butikk finnes ikke"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Butikk-kode kan kun bestå av bokstaver (a-z), tall (0-9) eller understrek (_). Første tegn må være en bokstav."
"Store was successfully saved","Butikken (Store) ble lagret"
"Store Email Addresses","Butikkens epost-adresser"
"Store Information","Butikkinformasjon"
"Store Name","Butikknavn"
"Store View","Butikkvisning (StoreView)"
"Store view doesn't exist","Butikkvisning (StoreView) eksisterer ikke"
"Store view was successfully deleted.","Butikkvisning (StoreView) er nå slettet."
"Store View was successfully saved","Butikkvisning ble lagret"
"Category object is required for determining product request path","Category object is required for determining product request path."
"Compare Products","Compare Products"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" er ikke støttet."
"Disable email communications","Deaktiver epost-kommunikasjon"
"Disable modules output","Deaktiver rapportering for moduler"
"Please define flag code.","Definer flaggkode."
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.) but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"This store cannot be deleted","Denne butikken kan ikke slettes"
"This store cannot be deleted.","Denne butikken kan ikke slettets."
"This store view cannot be deleted","Denne butikkvisningen kan ikke slettes"
"This store view cannot be deleted.","Denne butikkvisningen kan ikke slettes."
"This category and all its child elements","Denne kategorien og alle underelementer"
"This category and its child categories only","Denne kategorien samt underkategorier"
"This website cannot be deleted","Denne websiden (Website) kan ikke slettes"
"This website cannot be deleted.","Denne websiden (Website) kan ikke slettes."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Det er ikke definert noe fraktmetode i butikken. Ta kontakt med oss snarest slik at vi kan fikse dette er du grei."
"This is a required field.","Dette er et påkrevd felt."
"This will be included before head closing tag in page HTML","Dette inkluderes før headingens closing-tag"
"Your order can not be completed at this time as there is no payment methods available for it.","Din ordre kan dessverre ikke fullføres da det mangler betalingsmetode. Kontakt oss snarest silk at vi kan fikse dette er du grei."
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse scripts"
"Cookie Domain","Domene for informasjonskapsler"
"Duplicate Of Template Code","Duplikat av malkode"
"Custom admin URL","Egendefinert admin URL"
"Block with name ""%s"" already exists","En blokk med navnet ""%s"" finnes allerede"
"Title Suffix","Endelse"
"Edit Store View","Endre butikkvisning"
"Edit Website","Endre nettsted"
"Design Change","Endring av utseende"
"Are you sure?","Er du sikker?"
"Exceptions Log File Name","Exceptions Log File Name"
"Before modifying the store view code please make sure that it is not used in index.php","Før kode for butikkvisning endres, se til at den ikke benyttes i index.php"
