"* Required Fields","* Obligatoriske felt"
"Enable Contact Us","Aktiver 'Kontakt oss'-funksjonalitet"
"Email Options","Alternativer for epost"
"Email","Epost"
"Email Sender","Epost-avsender"
"Unable to submit your request. Please, try again later","Feil under sending. Prøv igjen senere"
"Comment","Kommentar"
"Contact Us","Kontakt oss"
"Contacts Section","Kontakter"
"Contacts","Kontakter"
"Contact Information","Kontaktinformasjon"
"Contact Form","Kontaktskjema"
"Email Template","Mal for epost"
"Name","Navn"
"Submit","Send"
"Send Emails To","Send epost-meldinger til"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Takk for din henvendelse. Vi tar kontakt snarest."
"Telephone","Telefon"
